source,target,string_score
RALA,PTEN,0.402
RALA,PIK3CA,0.405
RALA,MET,0.409
RALA,MAPK3,0.415
RALA,MYH10,0.418
RALA,USP9X,0.428
RALA,RAPGEF4,0.435
RALA,MTOR,0.438
RALA,RAP1A,0.445
RALA,SOS2,0.449
RALA,PPP2CA,0.461
RALA,TSC2,0.525
RALA,NF1,0.536
RALA,RALGAPA1,0.542
RALA,RAC1,0.549
RALA,MYH9,0.57
RALA,ITSN1,0.587
RALA,VAMP2,0.624
RALA,BRAF,0.641
RALA,MYO5A,0.658
RALA,ARF3,0.746
RALA,EXOC6B,0.819
RALA,CNKSR2,0.83
RALA,HRAS,0.831
RALA,EXOC6,0.85
RALA,PPP2R1B,0.869
RALA,EXOC3,0.871
RALA,RALGAPB,0.892
RALA,FLNA,0.93
RALA,EXOC5,0.96
PTEN,SOS2,0.467
PTEN,CSNK2A1,0.971
PTEN,TSC2,0.889
PTEN,AGO2,0.778
PTEN,HNRNPL,0.408
PTEN,PIK3R2,0.985
PTEN,SERPINE1,0.407
PTEN,MAST1,0.551
PTEN,PXDN,0.691
PTEN,GFAP,0.502
PTEN,H3-3B,0.616
PTEN,MKRN1,0.599
PTEN,FABP4,0.555
PTEN,THBS1,0.476
PTEN,PSMD11,0.426
PTEN,RHEB,0.805
PTEN,KMT2C,0.603
PTEN,YY1,0.644
PTEN,CREBBP,0.552
PTEN,PHLPP1,0.814
PTEN,MAST3,0.694
PTEN,MAPK3,0.756
PTEN,SMG6,0.404
PTEN,SYP,0.414
PTEN,EP300,0.596
PTEN,BRD4,0.536
PTEN,KAT2B,0.51
PTEN,PIK3CA,0.995
PTEN,CUL3,0.558
PTEN,HDAC4,0.448
PTEN,DNMT3A,0.592
PTEN,NCOR1,0.452
PTEN,CDH2,0.754
PTEN,HTR2C,0.479
PTEN,NTRK2,0.435
PTEN,WNT1,0.67
PTEN,RICTOR,0.834
PTEN,TSC1,0.801
PTEN,KMT2D,0.551
PTEN,NLGN2,0.455
PTEN,ITPR1,0.588
PTEN,PPM1D,0.621
PTEN,PSMC5,0.417
PTEN,LEP,0.509
PTEN,PRKDC,0.468
PTEN,DVL3,0.55
PTEN,USP9X,0.486
PTEN,MET,0.755
PTEN,ARID1A,0.743
PTEN,PPP2R1A,0.536
PTEN,FBN1,0.557
PTEN,IKZF1,0.432
PTEN,PTCH1,0.587
PTEN,ARID2,0.51
PTEN,PDCD1,0.597
PTEN,TNRC6C,0.527
PTEN,PLCB1,0.916
PTEN,FOXG1,0.59
PTEN,MEF2C,0.408
PTEN,TRPC6,0.482
PTEN,SMAD4,0.912
PTEN,USP7,0.979
PTEN,SMARCA4,0.705
PTEN,ESR2,0.504
PTEN,CCNG1,0.438
PTEN,DLG1,0.996
PTEN,NLGN4Y,0.464
PTEN,PSMD12,0.435
PTEN,PAX5,0.585
PTEN,NF1,0.874
PTEN,WDR5,0.496
PTEN,NLGN3,0.591
PTEN,NTRK3,0.43
PTEN,MTOR,0.942
PTEN,SMURF1,0.563
PTEN,CNTNAP2,0.478
PTEN,POU3F3,0.479
PTEN,PRKN,0.641
PTEN,PTGS2,0.682
PTEN,BTRC,0.421
PTEN,LZTS2,0.465
PTEN,FMR1,0.545
PTEN,GNAS,0.582
PTEN,OCRL,0.931
PTEN,VAMP2,0.4
PTEN,CLTC,0.402
PTEN,CCT4,0.407
PTEN,TBL1X,0.407
PTEN,NSD1,0.408
PTEN,CTCF,0.409
PTEN,TBL1XR1,0.409
PTEN,PSMD6,0.411
PTEN,FGF13,0.412
PTEN,TTN,0.416
PTEN,SYNGAP1,0.419
PTEN,ASH1L,0.424
PTEN,MUC4,0.431
PTEN,METTL14,0.432
PTEN,PTPRD,0.433
PTEN,WWOX,0.436
PTEN,ERG,0.437
PTEN,KDM5C,0.437
PTEN,CHD8,0.437
